                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2175,                 1.6836,                  1.544,                0.72694,                0.79186,                 0.8207,                0.55027,                  1.015,                 1.0151,                  1.226,               0.070682,              0.0032576,              0.0032576
                      1,                 1.1008,                0.95146,                 1.3715,                0.78295,                0.81611,                0.81822,                0.60965,                0.99062,                0.85632,                 1.2784,               0.040649,              0.0065583,              0.0065583
                      2,                 1.0513,                0.90742,                 1.3243,                0.85547,                0.74208,                0.81339,                0.56737,                 1.0757,                0.85823,                 1.3963,               0.010584,               0.009826,               0.009826
                      3,                 1.0987,                0.99743,                  1.324,                 0.7355,                0.66686,                0.69921,                0.49168,                  1.043,                 1.4492,                 1.3465,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0801,                0.84103,                  1.336,                0.74701,                0.77492,                0.82411,                0.57178,                 1.2024,                 1.3856,                 1.4788,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0881,                0.81406,                 1.3207,                0.76738,                0.68664,                0.75395,                0.43914,                 1.3119,                 2.3486,                 1.6156,               0.009802,               0.009802,               0.009802
                      6,                 1.0344,                0.78593,                  1.319,                0.83139,                0.75862,                0.81644,                0.54176,                 1.0734,                0.89997,                 1.3702,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0498,                0.80028,                   1.33,                0.79666,                0.76231,                0.79102,                0.48785,                 1.1554,                 1.0453,                 1.5369,               0.009703,               0.009703,               0.009703
                      8,                 1.0182,                0.78342,                  1.302,                0.89119,                0.77827,                0.87775,                 0.6498,                0.90543,                0.90689,                 1.2376,              0.0096535,              0.0096535,              0.0096535
                      9,                0.98177,                  0.717,                 1.3062,                 0.9198,                0.77847,                0.88756,                0.64448,                0.98364,                 0.7067,                 1.1994,               0.009604,               0.009604,               0.009604
                     10,                 1.0122,                0.71767,                 1.2905,                0.81027,                0.83095,                0.87109,                0.62252,                0.96169,                0.75321,                 1.3876,              0.0095545,              0.0095545,              0.0095545
                     11,                0.98866,                0.69956,                 1.2847,                0.84465,                0.78733,                 0.8681,                 0.6435,                0.98846,                0.91689,                 1.2951,               0.009505,               0.009505,               0.009505
                     12,                0.96977,                0.68947,                 1.2829,                0.87267,                0.80631,                0.89392,                0.67379,                0.76854,                0.69206,                 1.1179,              0.0094555,              0.0094555,              0.0094555
                     13,                0.96998,                0.69998,                 1.2622,                0.85902,                0.82711,                0.87215,                0.65027,                0.76788,                0.67092,                 1.1247,               0.009406,               0.009406,               0.009406
                     14,                0.93983,                0.66727,                 1.2526,                0.90145,                0.82784,                0.89399,                0.65095,                0.86206,                 0.6458,                 1.1528,              0.0093565,              0.0093565,              0.0093565
                     15,                0.95073,                 0.6597,                 1.2439,                0.88226,                0.84766,                0.91205,                0.69839,                0.85483,                0.67387,                 1.1998,               0.009307,               0.009307,               0.009307
                     16,                0.92345,                  0.653,                 1.2448,                0.90946,                0.77264,                0.86364,                0.62685,                 0.8471,                0.71475,                 1.2414,              0.0092575,              0.0092575,              0.0092575
                     17,                0.86568,                0.63564,                 1.2396,                0.91132,                0.70588,                0.85805,                0.60569,                 0.9472,                0.74087,                 1.2739,               0.009208,               0.009208,               0.009208
                     18,                0.89003,                0.62053,                 1.2288,                0.85701,                 0.8136,                0.86844,                0.66296,                0.85299,                0.75459,                 1.1936,              0.0091585,              0.0091585,              0.0091585
                     19,                0.91203,                0.64058,                 1.2297,                0.87659,                0.80353,                 0.8552,                0.64649,                0.82389,                0.92973,                 1.1558,               0.009109,               0.009109,               0.009109
                     20,                0.89173,                0.61936,                 1.2228,                0.84283,                0.82499,                0.86968,                0.63107,                 0.9794,                0.69533,                 1.2896,              0.0090595,              0.0090595,              0.0090595
                     21,                0.87161,                0.59683,                 1.2162,                0.86384,                  0.819,                0.89236,                 0.6836,                0.83524,                 0.7119,                 1.1866,                0.00901,                0.00901,                0.00901
                     22,                0.88496,                0.61015,                 1.2337,                0.86098,                0.78468,                0.86309,                0.66543,                0.72899,                0.67972,                 1.1138,              0.0089605,              0.0089605,              0.0089605
                     23,                0.85514,                0.60815,                  1.215,                0.87634,                0.79186,                0.85872,                0.65061,                 0.7754,                0.65152,                   1.15,               0.008911,               0.008911,               0.008911
                     24,                0.85267,                0.60371,                 1.2257,                0.86463,                 0.8009,                0.87737,                0.67601,                0.76768,                0.61875,                 1.1362,              0.0088615,              0.0088615,              0.0088615
                     25,                0.83394,                0.58247,                 1.1899,                0.91181,                0.77828,                0.87579,                0.67046,                0.79026,                0.64694,                 1.2021,               0.008812,               0.008812,               0.008812
                     26,                0.85019,                0.57806,                 1.2042,                0.92031,                0.76923,                0.86947,                0.67251,                0.79823,                0.59985,                 1.1624,              0.0087625,              0.0087625,              0.0087625
                     27,                0.84549,                0.58804,                 1.1993,                0.88451,                0.84163,                0.88538,                0.67436,                0.82706,                0.62418,                 1.1333,               0.008713,               0.008713,               0.008713
